"date","product_id","product_count","customer_count","sale_price"
"2023-04-01","0","7","7","17.73"
"2023-04-01","3","9","9","54.51"
"2023-04-01","4","9","8","47.68"
"2023-04-01","5","10","9","58.57"
"2023-04-01","6","8","7","25.72"
"2023-04-01","7","9","8","52.97"
"2023-04-01","11","10","8","25.8"
"2023-04-01","12","8","7","52.71"
"2023-04-01","13","7","7","73.87"
"2023-04-01","15","8","7","39.5"
"2023-04-01","16","6","6","41.34"
"2023-04-01","17","8","7","20.02"
"2023-04-01","18","8","8","34.96"
"2023-04-01","20","8","7","44.25"
"2023-04-01","22","7","6","15.52"
"2023-04-01","23","10","8","24.04"
"2023-04-01","24","7","7","18.98"
"2023-04-01","25","11","9","29.86"
"2023-04-01","26","8","7","42.9"
"2023-04-01","28","8","7","53.85"
"2023-04-01","30","8","7","62.05"
"2023-04-01","33","9","8","14.7"
"2023-04-01","35","9","7","36.41"
"2023-04-01","36","8","7","174.35"
"2023-04-01","39","7","7","34.28"
"2023-04-01","40","8","7","13.84"
"2023-04-01","41","7","6","27.9"
"2023-04-01","43","7","6","24.88"
"2023-04-01","44","9","7","50.71"
"2023-04-01","45","8","7","86.55"
"2023-04-01","46","9","7","42.15"
"2023-04-01","47","7","7","8.66"
"2023-04-01","48","9","7","22.66"
"2023-04-01","49","7","7","28.6"
"2023-04-01","50","8","8","15.6"
"2023-04-01","52","8","7","52.21"
"2023-04-01","55","7","7","17.64"
"2023-04-01","57","8","7","23.15"
"2023-04-01","59","8","7","71.79"
"2023-04-01","61","8","8","54.96"
"2023-04-01","62","8","7","82.44"
"2023-04-01","63","7","6","88.16"
"2023-04-01","64","7","6","55.29"
"2023-04-01","67","7","6","34.13"
"2023-04-01","70","6","5","20.85"
"2023-04-01","72","8","8","24.67"
"2023-04-01","73","8","7","7.41"
"2023-04-01","74","8","8","32.36"
"2023-04-01","75","7","6","34.44"
"2023-04-01","76","9","9","44.94"
"2023-04-01","77","8","7","27.42"
"2023-04-01","78","8","7","28.78"
"2023-04-01","79","8","7","51.84"
"2023-04-01","83","9","8","25.08"
"2023-04-01","84","9","8","22.96"
"2023-04-01","86","8","7","30.99"
"2023-04-01","87","9","8","13.14"
"2023-04-01","88","9","8","21.77"
"2023-04-01","89","9","9","82.16"
"2023-04-01","94","9","9","27.37"
"2023-04-01","95","9","8","30.04"
"2023-04-01","98","8","8","19.64"
"2023-04-01","99","8","8","66.91"
"2023-04-02","0","8","7","17.73"
"2023-04-02","1","6","5","16.91"
"2023-04-02","2","10","9","44.54"
"2023-04-02","3","9","8","54.51"
"2023-04-02","4","8","7","47.68"
"2023-04-02","6","8","8","25.72"
"2023-04-02","7","9","8","52.97"
"2023-04-02","8","7","7","48.51"
"2023-04-02","9","10","9","13.75"
"2023-04-02","10","8","7","16.08"
"2023-04-02","12","10","9","52.71"
"2023-04-02","13","9","8","73.87"
"2023-04-02","15","8","8","39.5"
"2023-04-02","17","7","7","20.02"
"2023-04-02","21","8","7","21.05"
"2023-04-02","22","8","7","15.52"
"2023-04-02","26","11","10","42.9"
"2023-04-02","28","8","7","53.85"
"2023-04-02","29","9","8","9.02"
"2023-04-02","30","8","7","62.05"
"2023-04-02","34","7","6","54.4"
"2023-04-02","36","8","7","174.35"
"2023-04-02","37","8","8","17.94"
"2023-04-02","38","8","8","102.73"
"2023-04-02","39","9","8","34.28"
"2023-04-02","40","7","6","13.84"
"2023-04-02","41","8","7","27.9"
"2023-04-02","44","9","8","50.71"
"2023-04-02","45","8","8","86.55"
"2023-04-02","47","8","8","8.66"
"2023-04-02","48","8","7","22.66"
"2023-04-02","49","6","5","28.6"
"2023-04-02","50","9","8","15.6"
"2023-04-02","51","8","8","23.25"
"2023-04-02","53","9","9","34.61"
"2023-04-02","54","7","6","19.39"
"2023-04-02","56","8","8","33.84"
